Index,Title,ArtistID,Artist,Top Genre,Year,Length (Duration),Popularity
53,Goodbye My Lover,1045,James Blunt,neo mellow,2005,259,69
54,The Unforgiven III,1046,Metallica,alternative metal,2008,467,52
55,Hurt,1047,Christina Aguilera,dance pop,2006,243,67
56,Grounds for Divorce,1048,Elbow,britpop,2009,219,43
57,Sometimes You Can't Make It On Your Own,1032,U2,irish rock,2004,305,57
58,"Listen (From the Motion Picture ""Dreamgirls"")",1049,Beyoncé,dance pop,2006,218,44
59,I Want It That Way,1050,Backstreet Boys,boy band,2001,214,77
60,Goin To The Run,1051,Golden Earring,album rock,2008,236,38
61,De Neus Umhoeg,1052,Rowwen Hèze,carnaval limburg,2005,215,32
62,Solitary Man,1053,Johnny Cash,arkansas country,2000,144,47
63,Smoorverliefd,1054,Doe Maar,dutch cabaret,2008,195,48
64,Me Gustas Tu,1055,Manu Chao,latin alternative,2001,240,70
65,Kryptonite,1056,3 Doors Down,alternative metal,2000,234,77
66,Crazy,1057,Seal,british soul,2004,357,63
67,Family Portrait,1058,P!nk,dance pop,2001,297,56
68,In The Army Now,1059,Status Quo,album rock,2002,281,59
69,I Surrender,1043,Saybia,danish pop rock,2004,219,55
70,Maybe Tomorrow,1060,Stereophonics,britpop,2003,273,64
71,Make You Feel My Love,1028,Adele,british soul,2008,212,73
72,No One Knows,1061,Queens of the Stone Age,alternative metal,2002,279,65
73,Where Do You Go To (My Lovely) - Re-Recorded,1062,Peter Sarstedt,british folk,2008,288,58
74,The Wild Rover,1063,The Dubliners,celtic,2008,249,46
75,Little Lion Man,1020,Mumford & Sons,modern folk rock,2009,247,67
76,Dirty Diana,1064,Michael Jackson,pop,2003,281,55
77,Ne me quitte pas,1065,Jacques Brel,chanson,2004,229,58
78,Sad Man's Tongue,1066,Volbeat,alternative metal,2007,186,57
79,Wat Zou Je Doen - Live,1067,Marco Borsato,dutch cabaret,2006,229,30
80,One Day Like This,1048,Elbow,britpop,2009,394,45
81,Bagagedrager,1068,Spinvis,dutch indie,2002,375,45
82,Wêr Bisto,1069,Twarres,dutch pop,2001,226,48
83,Only Time,1070,Enya,celtic,2000,219,70
84,Sorry Seems To Be The Hardest Word,1071,Blue,boy band,2004,210,58
85,Self Esteem,1072,The Offspring,alternative metal,2005,258,72
86,Aanzoek Zonder Ringen,1022,BLØF,dutch pop,2006,283,42
87,Modern World,1073,Anouk,dutch indie,2007,210,42
88,Rosie,1074,Claw Boys Claw,dutch indie,2007,264,43
89,This Is Not America - 2002 Remaster,1075,David Bowie,album rock,2002,231,43
90,Times Like These,1003,Foo Fighters,alternative metal,2002,266,65
91,De Vondeling Van Ameland,1076,Boudewijn de Groot,dutch indie,2007,306,19
92,I'm Gonna Be (500 Miles),1077,The Proclaimers,celtic rock,2003,219,74
93,Afscheid Nemen Bestaat Niet,1067,Marco Borsato,dutch cabaret,2006,240,49
94,Blauwe Ruis,1022,BLØF,dutch pop,2002,268,41
95,Limburg - Live,1052,Rowwen Hèze,carnaval limburg,2008,403,32
96,21 Guns,1037,Green Day,modern rock,2009,321,75
97,Valerie (feat. Amy Winehouse) - Version Revisited,1078,Mark Ronson,dance pop,2007,219,62
98,Blaosmuziek,1079,Gé Reinders,carnaval limburg,2005,232,38
99,Binnen,1067,Marco Borsato,dutch cabaret,2002,275,30
100,Motorcycle Emptiness,1080,Manic Street Preachers,alternative rock,2002,306,39
101,In the End,1038,Linkin Park,alternative metal,2000,217,83
102,Halt mich,1025,Herbert Grönemeyer,german pop,2008,207,44
103,Girl,1073,Anouk,dutch indie,2004,211,56
104,"Trapped - Live at Meadowlands Arena, E. Rutherford, NJ - August 1984",1004,Bruce Springsteen,classic rock,2003,308,40
105,Ik Wou Dat Ik Jou Was,1081,Veldhuis & Kemper,dutch cabaret,2003,237,58
106,Empire State of Mind (Part II) Broken Down,1082,Alicia Keys,hip pop,2009,216,75
107,Numb / Encore,1083,JAY-Z,east coast hip hop,2004,206,75
108,Ben Ik Te Min,1084,Armand,dutch rock,2009,208,47
109,All Summer Long,1085,Kid Rock,alternative metal,2007,298,72
110,Forever Autumn,1086,Jeff Wayne,classic uk pop,2007,273,41
111,Waiting On the World to Change,1087,John Mayer,neo mellow,2006,201,74
112,Everybody's Changing,1088,Keane,modern rock,2004,215,54
113,How to Save a Life,1089,The Fray,modern rock,2005,263,80
114,"Bloed, Zweet En Tranen",1090,Andre Hazes,dutch pop,2002,242,59
115,"Lose Yourself - From ""8 Mile"" Soundtrack",1009,Eminem,detroit hip hop,2005,326,77
116,Europa (Earth's Cry Heaven's Smile),1091,Santana,blues rock,2007,306,59
117,Feeling Good,1007,Muse,modern rock,2001,199,51
118,"Harder, Better, Faster, Stronger",1092,Daft Punk,electro,2001,225,71
119,Use Somebody,1093,Kings of Leon,modern rock,2008,231,76
120,Sweet Disposition,1094,The Temper Trap,alternative dance,2009,231,64
121,Single Ladies (Put a Ring on It),1049,Beyoncé,dance pop,2008,193,70
122,You're the Voice,1095,John Farnham,australian pop,2008,302,62
123,Voltooid Verleden Tijd,1096,IOS,dutch pop,2009,294,39
124,Eternal Flame,1097,The Bangles,album rock,2004,238,70
125,Papa Was A Rolling Stone,1098,The Temptations,adult standards,2001,433,44
126,Crazy In Love (feat. Jay-Z),1049,Beyoncé,dance pop,2003,236,75
127,Best of You,1003,Foo Fighters,alternative metal,2005,256,75
128,Daughters,1087,John Mayer,neo mellow,2003,238,68
129,De wedstrijd,1099,Bram Vermeulen,belgian rock,2006,302,42
130,Papillon,1024,Editors,alternative dance,2009,324,56
131,Sadeness,1100,Enigma,downtempo,2001,256,58
132,Red Mij Niet - Single Edit,1101,Maarten Van Roozendaal,dutch indie,2001,270,36
133,Love Is A Losing Game,1029,Amy Winehouse,british soul,2006,154,67
134,Zij,1067,Marco Borsato,dutch cabaret,2002,245,52
135,Tribute,1102,Tenacious D,alternative metal,2001,248,59
136,You Know I'm No Good,1029,Amy Winehouse,british soul,2006,257,74
137,Talk,1016,Coldplay,permanent wave,2005,311,63
138,Love Is A Battlefield,1103,Pat Benatar,album rock,2001,245,54
139,Home,1104,Michael Bublé,adult standards,2005,226,64
140,Sonne,1105,Rammstein,alternative metal,2001,272,60
141,I Gotta Feeling,1106,The Black Eyed Peas,dance pop,2009,289,69
142,She Sells Sanctuary,1107,The Cult,album rock,2000,253,63
143,Alie,1108,Normaal,dutch rock,2008,181,42
144,Red Red Wine,1109,UB40,reggae fusion,2000,184,74
145,A Little Less Conversation - JXL Radio Edit Remix,1010,Elvis Presley,adult standards,2002,212,64
146,Love You More,1110,Racoon,dutch indie,2005,197,43
147,Old Man,1111,Neil Young,album rock,2004,203,44
148,Zij Maakt Het Verschil,1112,De Poema's,dutch pop,2003,280,54
149,I Want To Hold Your Hand - Remastered 2015,1113,The Beatles,british invasion,2000,146,75
150,Black Magic Woman,1091,Santana,blues rock,2007,196,62
151,Set The Fire To The Third Bar,1041,Snow Patrol,irish rock,2006,204,49
152,Ghost Love Score,1114,Nightwish,finnish metal,2004,602,38
153,Going To A Town,1115,Rufus Wainwright,canadian pop,2007,245,38
154,Is Dit Alles,1054,Doe Maar,dutch cabaret,2008,324,44
155,A Gentleman's Excuse Me,1116,Fish,album rock,2008,259,44
156,God Put a Smile upon Your Face,1016,Coldplay,permanent wave,2002,297,64
157,Heartbreak Warfare,1087,John Mayer,neo mellow,2009,270,66
158,Sailing to Philadelphia,1117,Mark Knopfler,classic rock,2005,353,39
159,Accidentally In Love,1118,Counting Crows,alternative rock,2004,189,59
160,It's Raining Men,1119,The Weather Girls,disco,2008,212,58
161,One Word,1073,Anouk,dutch indie,2004,243,52
162,Goodnight Saigon,1120,Billy Joel,album rock,2001,423,46
163,Moonlight Shadow,1121,Mike Oldfield,album rock,2009,218,64
164,Zing - Vecht - Huil - Bid - Lach - Werk En Bewonder,1122,Ramses Shaffy,dutch cabaret,2006,281,41
165,Uprising,1007,Muse,modern rock,2009,305,76
166,My Immortal,1123,Evanescence,alternative metal,2003,263,74
167,Feel Like Flying,1110,Racoon,dutch indie,2005,213,41
168,Everything,1104,Michael Bublé,adult standards,2007,212,73
169,Hey There Delilah,1124,Plain White T's,neo mellow,2005,233,80
170,Speeltuin,1067,Marco Borsato,dutch cabaret,2002,135,50
171,"Comptine d'un autre été, l'après-midi",1125,Yann Tiersen,bow pop,2001,141,56
172,Sweet Goodbyes,1126,Krezip,dutch indie,2009,193,56
173,The Man Who Can't Be Moved,1127,The Script,celtic rock,2008,241,64
174,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",1087,John Mayer,neo mellow,2008,264,75
175,Halo,1049,Beyoncé,dance pop,2008,262,78
176,Hollereer,1128,De Jeugd Van Tegenwoordig,dutch hip hop,2008,346,46
177,Hier,1022,BLØF,dutch pop,2000,248,40
178,Ice Queen,1129,Within Temptation,dutch metal,2003,319,47
179,Another 45 Miles,1051,Golden Earring,album rock,2008,284,50
180,Like a Hurricane - 2003 Remaster,1111,Neil Young,album rock,2004,501,49
181,Father & Friend,1130,Alain Clark,dutch pop,2007,256,35
182,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",1131,Bill Medley,soft rock,2004,289,70
183,The Blower's Daughter,1132,Damien Rice,acoustic pop,2003,287,56
184,Magnificent,1032,U2,irish rock,2009,324,44
185,Virtual Insanity - Remastered,1133,Jamiroquai,acid jazz,2006,229,69
186,Belle Hélène,1054,Doe Maar,dutch cabaret,2008,170,49
187,Go With The Flow,1061,Queens of the Stone Age,alternative metal,2002,187,58
188,Sound Of The Screameng Day,1134,Golden Earrings,dutch prog,2008,171,26
189,Plug in Baby,1007,Muse,modern rock,2001,218,53
190,Heavy Cross,1135,Gossip,alternative dance,2009,243,59
191,Nederwiet,1054,Doe Maar,dutch cabaret,2008,414,39
192,Heart Of Glass,1136,Blondie,candy pop,2006,252,52
193,The Real Slim Shady,1009,Eminem,detroit hip hop,2000,284,80
194,Stuck In A Moment You Can't Get Out Of,1032,U2,irish rock,2000,272,52
195,Tumble and Fall,1137,JOHAN,dutch indie,2001,209,36
196,Les lacs du Connemara,1138,Michel Sardou,chanson,2004,364,59
197,Hier Kom Ik Weg,1139,Daniël Lohues,dutch indie,2008,208,39
198,Starlight,1007,Muse,modern rock,2006,240,73
199,Dakota,1060,Stereophonics,britpop,2005,297,68
200,Time To Say Goodbye (Con Te Partirò),1140,Sarah Brightman,operatic pop,2006,246,59
201,Green Eyes,1016,Coldplay,permanent wave,2002,223,63
202,Silence (feat. Sarah McLachlan) - DJ Tiësto's In Search of Sunrise Edit,1141,Delerium,trance,2004,235,58
203,De Kapitein Deel II,1142,Acda en de Munnik,dutch cabaret,2000,181,51
204,Supermassive Black Hole,1007,Muse,modern rock,2006,212,73
205,Pak Maar M'n Hand,1143,Nick & Simon,dutch pop,2007,212,59
206,De Bom,1054,Doe Maar,dutch cabaret,2008,161,49
207,Bombay,1051,Golden Earring,album rock,2008,234,34
208,Mary Jane's Last Dance,1144,Tom Petty and the Heartbreakers,album rock,2008,274,72
209,Oerend Hard,1108,Normaal,dutch rock,2008,225,52
210,Society,1145,Eddie Vedder,permanent wave,2007,236,67
211,White Flag,1146,Dido,dance pop,2003,241,54
212,Heaven Must Be Missing An Angel - Pt. 1,1147,Tavares,adult standards,2004,394,49
213,Wake Me up When September Ends,1037,Green Day,modern rock,2004,286,77
214,Can't Stop,1148,Red Hot Chili Peppers,alternative rock,2002,269,80
215,Driving Home for Christmas,1149,Chris Rea,art rock,2007,240,80
216,Mutter,1105,Rammstein,alternative metal,2001,269,51
217,Pa,1054,Doe Maar,dutch cabaret,2008,219,41
218,Blauw,1150,The Scene,belgian rock,2007,236,47
219,Spicks And Specks,1151,Bee Gees,adult standards,2001,172,47
220,Stan,1009,Eminem,detroit hip hop,2000,404,75
221,Beautiful,1047,Christina Aguilera,dance pop,2002,239,71
222,Gravity,1087,John Mayer,neo mellow,2006,246,75
223,Leave the Light On,1152,Beth Hart,blues rock,2009,244,32
224,Ruthless Queen,1153,Kayak,dutch prog,2009,291,32
225,Everlong - Acoustic Version,1003,Foo Fighters,alternative metal,2009,251,69
226,Here Without You,1056,3 Doors Down,alternative metal,2002,239,75
227,One,1154,Mary J. Blige,dance pop,2005,260,61
228,Mijn Houten Hart,1112,De Poema's,dutch pop,2003,259,45
229,Mad World (Feat. Michael Andrews),1155,Gary Jules,neo mellow,2002,190,70
230,Sinds 1 Dag Of 2 (32 Jaar),1054,Doe Maar,dutch cabaret,2008,201,53
231,Feeling Good,1104,Michael Bublé,adult standards,2005,237,64
232,The Wall Street Shuffle,1156,10cc,album rock,2004,242,46
233,Song 2,1157,Blur,alternative rock,2000,122,64
234,I Would Stay,1126,Krezip,dutch indie,2000,232,55
235,Piano Man,1120,Billy Joel,album rock,2001,336,70
236,Fireflies,1158,Owl City,pop,2009,228,79
237,Lost,1073,Anouk,dutch indie,2004,222,51
238,Woman,1159,Wolfmother,alternative rock,2006,176,62
239,Where Is The Love?,1106,The Black Eyed Peas,dance pop,2003,273,66
240,Yellow,1016,Coldplay,permanent wave,2000,267,82
241,This Is The Life,1160,Amy Macdonald,scottish singer-songwriter,2007,184,41
242,Wicked Game,1161,Chris Isaak,mellow gold,2006,287,70
243,Breakeven,1127,The Script,celtic rock,2008,261,74
244,Not An Addict,1162,K's Choice,alternative pop,2009,288,43
245,So Incredible,1023,Ilse DeLange,dutch americana,2008,177,54
246,Mr Rock & Roll,1160,Amy Macdonald,scottish singer-songwriter,2007,215,30
247,Will You Be There - Single Version,1064,Michael Jackson,pop,2005,220,53
248,Vlinder,1052,Rowwen Hèze,carnaval limburg,2003,231,33
249,Cambodia,1163,Kim Wilde,dance pop,2006,236,51
250,Back To Black,1029,Amy Winehouse,british soul,2006,240,77
251,Dochters,1067,Marco Borsato,dutch cabaret,2008,270,57
252,Hocus Pocus,1164,Focus,album rock,2001,403,53
253,Mensch,1025,Herbert Grönemeyer,german pop,2008,270,47
254,Amsterdam,1016,Coldplay,permanent wave,2002,319,57
255,Time Is Running Out,1007,Muse,modern rock,2004,237,69
256,Rain Down on Me,1165,Kane,dutch pop,2003,247,47
257,Denis,1136,Blondie,candy pop,2006,139,42
258,Hometown Glory,1028,Adele,british soul,2008,269,59
259,Live And Let Die - Live,1166,Paul McCartney,album rock,2003,185,60
260,I Still Cry,1023,Ilse DeLange,dutch americana,2000,274,30
261,Ren Lenny Ren,1142,Acda en de Munnik,dutch cabaret,2002,233,43
262,In My Place,1016,Coldplay,permanent wave,2002,227,70
263,Numb,1038,Linkin Park,alternative metal,2003,186,81
264,Slow Dancing in a Burning Room,1087,John Mayer,neo mellow,2006,242,76
265,Empire State Of Mind,1083,JAY-Z,east coast hip hop,2009,277,77
266,Drops of Jupiter,1167,Train,dance pop,2001,260,77
267,Omarm,1022,BLØF,dutch pop,2003,252,46
268,(What A) Wonderful World,1168,Sam Cooke,adult standards,2000,125,71
269,Teardrops,1169,Womack & Womack,disco,2001,229,61
270,The Rising,1004,Bruce Springsteen,classic rock,2002,287,53
271,Snow (Hey Oh),1148,Red Hot Chili Peppers,alternative rock,2006,335,80
272,I Don't Wanna Hurt,1073,Anouk,dutch indie,2007,213,46
273,Ordinary People,1170,John Legend,neo mellow,2005,281,69
274,Iedereen Is Van De Wereld,1150,The Scene,belgian rock,2007,228,50
275,Gold,1171,Spandau Ballet,dance rock,2000,231,66
276,All Night Long (All Night) - Single Version,1172,Lionel Richie,adult standards,2003,260,64
277,Can't Stop Loving You - 2016 Remaster,1173,Phil Collins,mellow gold,2002,256,62
278,City Of Blinding Lights,1032,U2,irish rock,2004,346,60
279,Munich,1024,Editors,alternative dance,2005,226,61
280,Hey Ya!,1174,OutKast,atl hip hop,2003,235,79
281,There Must Be an Angel (Playing with My Heart),1175,Eurythmics,dance pop,2005,281,40
282,Laat Me / Vivre - Lange Versie,1176,Alderliefste met Ramses Shaffy en Liesbeth List,dutch pop,2005,386,43
283,Watskeburt?!,1128,De Jeugd Van Tegenwoordig,dutch hip hop,2008,376,55
284,Feel,1039,Robbie Williams,dance pop,2002,264,72
285,Lady Jane - (Original Single Mono Version),1177,The Rolling Stones,album rock,2004,190,34
286,La Isla Bonita,1178,Madonna,dance pop,2009,243,66
287,Go Like Elijah,1179,Chi Coltrane,alternative pop rock,2009,242,40
288,Chop Suey!,1180,System Of A Down,alternative metal,2001,210,80
289,Sorry - (Live in Tivoli),1181,Kyteman,dutch indie,2009,150,47
290,Black or White - Single Version,1064,Michael Jackson,pop,2005,203,64
291,Shut Your Eyes,1041,Snow Patrol,irish rock,2006,197,42
292,Ironic,1017,Alanis Morissette,alternative rock,2005,229,62
293,I Bet You Look Good On The Dancefloor,1014,Arctic Monkeys,garage rock,2006,174,58
294,Hurt,1053,Johnny Cash,arkansas country,2002,217,75
295,Vogue,1178,Madonna,dance pop,2009,317,66
296,If I Were a Boy,1049,Beyoncé,dance pop,2008,249,68
297,Dyna-Mite,1182,Mud,classic uk pop,2005,177,40
298,Une Belle Histoire (Een Mooi Verhaal),1183,Alderliefste,dutch pop,2008,268,38
299,Sandstorm - Radio Edit,1184,Darude,eurodance,2007,225,61
300,Right Next Door (Because Of Me),1185,Robert Cray,blues,2002,259,52
301,Hald Mich 'S Vas,1186,Neet Oét Lottum,carnaval limburg,2004,251,39
302,Like a Prayer,1178,Madonna,dance pop,2009,343,71
303,Rockin' All Over The World,1059,Status Quo,album rock,2005,217,47
304,Blue Hotel,1161,Chris Isaak,mellow gold,2006,192,42
305,Dear Mr. President,1058,P!nk,dance pop,2009,281,43
306,Stiekem Gedanst,1187,Toontje Lager,dutch rock,2008,215,53
307,Human,1008,The Killers,modern rock,2008,245,73
308,Lady Madonna - Remastered 2015,1113,The Beatles,british invasion,2000,137,63
309,Both Sides Now,1188,Joni Mitchell,canadian folk,2000,345,65
310,God Is a DJ,1189,Faithless,big beat,2005,209,57
311,Viva La Vida,1016,Coldplay,permanent wave,2008,242,78
312,Kids,1190,MGMT,alternative dance,2007,303,76
313,Bend & Break,1088,Keane,modern rock,2004,220,43
314,We Can Work It Out - Remastered 2015,1113,The Beatles,british invasion,2000,136,63
315,Sing for Absolution,1007,Muse,modern rock,2004,295,57
316,Superstition - Single Version,1191,Stevie Wonder,adult standards,2002,245,77
317,Vertigo,1032,U2,irish rock,2004,194,65
318,By the Way,1148,Red Hot Chili Peppers,alternative rock,2002,217,74
319,Hey Jude,1113,The Beatles,british invasion,2006,239,63
320,November,1052,Rowwen Hèze,carnaval limburg,2005,296,35
321,Geef Mij Je Angst,1033,Guus Meeuwis,dutch pop,2006,224,54
322,Stuck In The Middle With You,1192,Stealers Wheel,classic rock,2009,204,72
323,Het Regent Zonnestralen,1142,Acda en de Munnik,dutch cabaret,2005,226,57
324,Violet Hill,1016,Coldplay,permanent wave,2008,223,61
325,Dog Days Are Over,1193,Florence + The Machine,art pop,2009,252,69
326,Beautiful Day,1032,U2,irish rock,2000,246,63
327,Major Tom,1194,Peter Schilling,german pop,2005,274,48
328,An End Has a Start,1024,Editors,alternative dance,2007,226,53
329,Lost!,1016,Coldplay,permanent wave,2008,236,53
330,What It Is,1117,Mark Knopfler,classic rock,2000,298,43
331,Blue Monday - 2016 Remaster,1195,New Order,alternative rock,2005,451,73
332,Behind Blue Eyes,1196,Limp Bizkit,alternative metal,2003,270,72
333,Rehab,1029,Amy Winehouse,british soul,2006,214,74
334,Bird of Paradise,1197,Snowy White,blues rock,2003,281,52
335,I'm Yours,1198,Jason Mraz,acoustic pop,2008,242,82
336,Onderweg,1199,Abel,dutch rock,2000,190,59
337,Mr. Bojangles - Single Version,1200,Sammy Davis Jr.,adult standards,2002,343,56
338,Unwritten,1201,Natasha Bedingfield,dance pop,2004,259,76
339,Resistance,1007,Muse,modern rock,2009,347,63
340,Bedshaped,1088,Keane,modern rock,2004,276,41
341,Mia,1202,Gorki,belgian rock,2002,332,52
342,You Oughta Know,1017,Alanis Morissette,alternative rock,2005,250,52
343,Overcome,1203,Live,alternative metal,2001,256,49
344,Stand My Ground,1129,Within Temptation,dutch metal,2004,268,56
345,Chasing Cars,1041,Snow Patrol,irish rock,2006,268,78
346,Dani California,1148,Red Hot Chili Peppers,alternative rock,2006,282,76
347,Unfinished Sympathy,1204,Massive Attack,big beat,2006,312,53
348,Nine Million Bicycles,1205,Katie Melua,uk pop,2005,197,61
349,You're Beautiful,1045,James Blunt,neo mellow,2005,209,76
350,It's My Life,1206,Bon Jovi,glam metal,2000,224,77
351,Politik,1016,Coldplay,permanent wave,2002,319,62
352,Mooie Dag,1022,BLØF,dutch pop,2002,279,40
353,In Nije Dei,1207,De Kast,dutch pop,2004,296,38
354,Sex on Fire,1093,Kings of Leon,modern rock,2008,203,79
355,Hallelujah,1208,Lisa Lois,dutch pop,2009,226,49
356,Somewhere Only We Know,1088,Keane,modern rock,2004,236,67
357,Sunrise,1209,Simply Red,british soul,2004,200,55
358,How You Remind Me,1210,Nickelback,alternative metal,2001,224,78
359,When You Say Nothing At All,1211,Ronan Keating,dance pop,2000,257,74
360,Hard Sun,1145,Eddie Vedder,permanent wave,2007,322,66
361,Belfast Child,1212,Simple Minds,art rock,2008,404,43
362,Feel Good Inc.,1002,Gorillaz,alternative hip hop,2005,223,80
363,Alles Is Liefde,1022,BLØF,dutch pop,2007,210,36
364,Jerusalem,1073,Anouk,dutch indie,2004,236,40
365,Mr Bojangles,1039,Robbie Williams,dance pop,2001,198,58
366,Tranen Gelachen,1033,Guus Meeuwis,dutch pop,2007,203,50
367,When The Sun Goes Down,1014,Arctic Monkeys,garage rock,2006,202,57
368,Frozen,1178,Madonna,dance pop,2009,379,55
369,The Racing Rats,1024,Editors,alternative dance,2007,258,43
370,Poker Face,1213,Lady Gaga,dance pop,2008,237,69
371,Life in Technicolor ii,1016,Coldplay,permanent wave,2008,245,47
372,One,1053,Johnny Cash,arkansas country,2000,232,47
373,Ruby,1214,Kaiser Chiefs,alternative rock,2007,203,62
374,Het Land Van,1215,Lange Frans,dutch hip hop,2005,230,49
375,Bad Romance,1213,Lady Gaga,dance pop,2009,295,79
376,Elevation,1032,U2,irish rock,2000,226,49
377,Trouble,1016,Coldplay,permanent wave,2000,273,71
378,De Peel In Brand,1052,Rowwen Hèze,carnaval limburg,2005,205,33
379,Black Betty,1216,Ram Jam,album rock,2005,236,61
380,Wrong,1217,Novastar,belgian rock,2000,214,48
381,Never Be Clever,1218,Herman Brood & His Wild Romance,dutch indie,2001,183,41
382,Undisclosed Desires,1007,Muse,modern rock,2009,235,65
383,Auto Vliegtuug,1052,Rowwen Hèze,carnaval limburg,2005,238,34
384,Meer Dan Een Ander,1219,Van Dik Hout,dutch cabaret,2009,223,34
385,Brabant,1033,Guus Meeuwis,dutch pop,2002,210,61
386,Mother Earth,1129,Within Temptation,dutch metal,2003,330,45
387,One More Time,1092,Daft Punk,electro,2001,320,75
388,(You're The) Devil in Disguise,1010,Elvis Presley,adult standards,2002,140,65
389,TRUE - Single Edit,1171,Spandau Ballet,dance rock,2008,328,72
390,Make It Wit Chu,1061,Queens of the Stone Age,alternative metal,2007,290,59
391,Bring Me To Life,1123,Evanescence,alternative metal,2003,236,78
392,Clocks,1016,Coldplay,permanent wave,2002,308,76
393,Farewell To The Fairground,1220,White Lies,alternative dance,2009,257,54
394,Bliss,1007,Muse,modern rock,2001,251,46
395,Kijk Omhoog,1143,Nick & Simon,dutch pop,2007,176,48
396,9 Crimes,1132,Damien Rice,acoustic pop,2006,219,57
397,Working On a Dream,1004,Bruce Springsteen,classic rock,2009,209,48
398,Nutbush City Limits,1221,Ike & Tina Turner,brill building pop,2008,182,56
399,Do They Know It's Christmas? - 1984 Version,1222,Band Aid,electro,2004,223,84
400,Changes,1223,2Pac,g funk,2007,269,72
401,Mag Ik Dan Bij Jou,1224,Claudia De Breij,dutch cabaret,2010,206,53
402,Sterrenstof,1128,De Jeugd Van Tegenwoordig,dutch hip hop,2010,221,48
403,Love Will Tear Us Apart - 2010 Remaster,1225,Joy Division,alternative rock,2010,205,64
404,Mag Het Licht Uit,1012,De Dijk,dutch indie,2010,259,43
405,Why Tell Me Why,1226,Anita Meyer,dutch pop,2010,214,54
